b,30.83,0,w,v,1.25,t,t.1,1,f,g.1,202,0.1,+
0,327,4.46,10,3,3.04,1,1,6,0,0,117,560,0
0,89,0.5,10,3,1.5,1,0,0,0,0,73,824,0
1,125,1.54,12,7,3.75,1,1,5,1,0,1,3,0
1,43,5.625,12,7,1.71,1,0,0,0,2,8,0,0
1,167,4.0,9,7,2.5,1,0,0,1,0,95,0,0
1,178,1.04,11,3,6.5,1,0,0,1,0,25,31285,0
0,74,11.585,2,7,0.04,1,0,0,0,0,158,1349,0
1,309,0.5,8,3,3.96,1,0,0,0,0,34,314,0
1,254,4.915,12,7,3.165,1,0,0,1,0,139,1442,0
1,64,0.83,1,3,2.165,0,0,0,1,0,10,0,0
1,145,1.835,1,3,4.335,1,0,0,0,0,66,200,0
0,219,6.0,8,7,1.0,1,0,0,1,0,0,0,0
1,281,6.04,8,7,0.04,0,0,0,0,0,0,2690,0
0,269,10.5,10,7,5.0,1,1,7,1,0,0,0,0
1,210,4.415,8,7,0.25,1,1,10,1,0,85,0,0
1,129,0.875,9,7,0.96,1,1,3,1,0,107,0,0
0,78,5.875,10,7,3.17,1,1,10,0,0,8,245,0
1,61,0.25,3,3,0.665,1,0,0,1,0,0,0,0
0,34,8.585,2,3,0.75,1,1,7,0,0,166,0,0
1,94,11.25,1,7,2.5,1,1,17,0,0,40,1208,0
1,78,1.0,1,7,0.835,1,0,0,0,2,79,0,0
0,279,8.0,1,7,7.875,1,1,6,1,0,0,1260,0
0,121,14.5,13,3,3.085,1,1,1,0,0,8,11,0
0,243,6.5,10,7,0.5,1,1,3,1,0,18,0,0
0,3,0.585,1,3,1.5,1,1,2,0,0,1,0,0
0,273,13.0,6,0,5.165,1,1,9,1,0,0,0,0
1,317,18.5,3,0,15.0,1,1,17,1,0,0,0,0
1,321,8.5,4,3,7.0,1,1,3,0,0,0,0,0
1,251,1.04,12,7,5.0,1,1,6,1,0,135,10000,0
1,138,14.79,0,7,5.04,1,1,5,1,0,27,0,0
1,250,9.79,13,3,7.96,1,1,8,0,0,0,0,0
1,290,7.585,6,0,7.585,1,1,15,1,0,0,5000,0
0,211,5.125,4,7,5.0,1,0,0,1,0,0,4000,0
0,70,10.75,10,7,0.415,1,1,5,1,0,0,560,0
1,125,1.5,12,7,2.0,1,1,11,1,0,120,35,0
1,119,1.585,2,3,1.835,1,1,12,1,0,145,713,0
0,75,11.75,13,3,0.5,1,1,2,1,0,79,551,0
1,124,0.585,2,7,0.25,1,1,2,0,0,66,500,0
1,310,9.415,5,2,14.415,1,1,11,1,0,78,300,0
1,187,9.17,1,7,4.5,1,1,12,1,0,0,221,0
1,136,15.0,1,3,5.335,1,1,11,0,0,0,2283,0
1,142,1.415,12,3,0.75,1,1,1,0,0,60,100,0
1,233,13.915,12,7,8.625,1,1,6,1,0,151,0,0
1,315,28.0,1,7,28.5,1,1,40,0,0,0,15,0
1,308,6.75,1,3,2.625,1,1,11,1,0,0,284,0
0,242,2.04,10,3,0.125,1,1,23,1,0,126,1236,0
1,165,4.46,2,3,6.04,1,1,3,0,0,82,300,0
1,246,1.54,6,0,3.5,0,0,0,0,0,48,0,0
1,84,0.665,1,7,0.165,0,0,0,0,0,1,0,0
0,103,0.5,1,3,0.875,1,0,0,1,0,133,0,0
1,106,1.0,10,7,1.75,1,0,0,1,0,73,0,0
1,214,2.04,12,7,0.04,1,0,0,1,0,110,5800,0
1,195,2.5,12,7,0.0,1,0,0,1,0,58,200,0
1,188,3.0,2,3,7.415,1,0,0,1,0,0,0,0
1,79,11.625,12,7,0.835,1,0,0,1,0,23,300,0
1,77,0.0,2,7,0.085,1,0,0,0,0,0,0,0
1,264,0.5,6,3,5.0,1,0,0,1,0,85,0,0
1,197,4.5,13,3,5.75,0,0,0,1,2,152,0,0
1,260,3.0,10,3,6.0,1,1,11,0,0,158,0,0
1,318,12.25,9,7,1.25,1,1,4,1,0,40,0,0
1,162,16.165,3,7,3.0,1,1,9,0,0,61,730,0
0,80,0.79,10,7,1.5,1,1,2,1,0,158,400,0
0,46,0.835,10,7,1.585,1,1,1,0,0,0,0,0
1,113,4.25,2,7,4.29,1,1,1,1,0,8,0,0
1,187,1.54,2,7,1.54,1,1,1,1,0,140,50000,0
0,202,1.0,1,7,2.0,1,1,11,0,0,0,456,0
1,100,0.375,9,7,0.25,1,1,3,0,0,66,15108,0
1,36,6.5,12,3,1.46,1,1,7,0,0,158,2954,0
1,197,25.125,13,3,1.625,1,1,1,1,0,137,500,0
1,170,7.5,4,0,1.585,1,0,0,1,2,115,0,1
1,194,4.0,3,0,12.5,1,0,0,1,0,0,0,1
0,222,5.0,2,7,13.5,1,0,0,1,0,167,0,1
1,263,0.5,9,7,10.75,1,0,0,0,2,110,0,1
1,265,7.0,1,7,1.625,0,0,0,0,0,23,2,1
1,48,5.29,10,7,0.375,1,1,1,0,0,23,0,1
1,186,6.5,0,7,0.125,1,0,0,1,0,122,0,1
0,34,0.585,0,7,0.585,1,0,0,1,0,23,0,1
1,59,1.165,8,7,2.5,1,1,1,0,0,34,20,1
1,57,9.75,1,7,0.25,1,0,0,0,0,15,0,1
1,291,19.0,5,2,0.0,1,1,1,0,0,165,0,1
0,123,1.5,9,7,2.0,1,0,0,0,2,96,0,1
1,234,0.5,9,7,0.25,1,0,0,0,2,74,0,1
0,71,3.5,3,7,3.0,1,0,0,1,0,79,0,1
1,119,0.625,0,7,0.455,1,0,0,1,0,40,0,1
1,212,4.0,1,0,5.0,1,0,0,1,2,73,0,1
1,71,0.375,3,7,0.875,1,0,0,1,2,163,0,1
1,102,2.21,0,7,4.0,1,0,0,0,0,37,0,1
1,185,4.5,0,7,1.0,1,0,0,1,0,60,0,1
0,288,1.5,7,4,0.0,1,0,0,1,0,1,27,1
1,333,12.75,1,3,5.0,1,0,0,0,0,5,0,1
1,160,15.5,1,7,0.5,1,0,0,0,0,8,0,1
1,71,5.0,0,7,8.5,1,0,0,0,0,0,0,1
1,302,1.375,1,3,9.46,1,0,0,1,0,40,100,1
1,135,1.5,1,7,1.5,1,0,0,1,0,0,225,1
0,133,3.54,6,0,0.5,1,0,0,1,0,30,0,1
1,75,0.625,0,7,0.125,1,0,0,0,0,34,1,1
1,71,0.5,1,0,0.835,1,0,0,1,2,85,0,1
0,69,11.0,10,7,3.0,1,0,0,1,0,68,0,1
0,132,1.0,10,7,1.0,1,1,2,1,0,26,500,1
1,215,1.75,1,0,0.25,1,0,0,1,0,25,400,1
1,198,16.5,1,7,4.0,1,0,0,0,0,158,0,1
1,29,5.0,10,7,0.375,1,1,2,0,0,0,38,1
1,94,12.0,8,7,2.25,1,1,2,1,0,8,5,1
1,125,4.0,6,3,5.75,1,1,2,1,0,155,0,1
1,311,15.5,4,8,0.0,1,1,20,0,0,20,130,1
1,135,1.165,8,7,0.5,1,0,0,0,2,73,0,1
0,94,11.0,0,7,4.5,1,0,0,0,0,8,0,1
1,241,2.25,13,3,10.0,1,0,0,1,0,32,0,1
